epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4466,1.63744,3.08083,1.71296,0.00667,1,0.47012,0.33203,1.21982,3.3702,1.53686,0.00010002,0.00010002,0.00010002
2,49.5153,1.48968,2.38641,1.63614,0.0067,1,0.50625,0.39021,1.28915,3.08865,1.49183,0.000212419,0.000212419,0.000212419
3,73.1423,1.31955,1.90792,1.51945,1,0.1542,0.60139,0.46157,1.0972,2.91909,1.39305,0.000320197,0.000320197,0.000320197
4,96.636,1.22395,1.84862,1.4433,1,0.27409,0.64927,0.4687,1.01619,3.01499,1.33708,0.000423355,0.000423355,0.000423355
5,120.045,1.21913,1.80593,1.41309,1,0.24662,0.61055,0.45836,1.0725,2.78859,1.31533,0.000521891,0.000521891,0.000521891
6,143.695,1.24651,1.76252,1.47101,1,0.34367,0.52416,0.41057,1.28447,2.73656,1.47144,0.000615806,0.000615806,0.000615806
7,166.987,1.18372,1.67427,1.37282,1,0.43366,0.64747,0.47655,1.07151,2.49062,1.38656,0.000705101,0.000705101,0.000705101
8,190.241,1.081,1.57285,1.32969,0.98352,0.47349,0.59428,0.44313,1.18876,2.38748,1.42441,0.000789775,0.000789775,0.000789775
9,213.387,1.10348,1.60395,1.37367,1,0.45818,0.52509,0.41393,1.11729,2.19005,1.3812,0.000869827,0.000869827,0.000869827
10,236.379,1.10374,1.6719,1.37378,0.99665,0.5,0.59279,0.45148,1.01097,1.91358,1.28592,0.000945259,0.000945259,0.000945259
11,260.658,1.02119,1.47077,1.2421,0.97263,0.5,0.57083,0.43072,1.08331,2.00617,1.36764,0.00101607,0.00101607,0.00101607
12,283.763,1.06999,1.45661,1.30683,0.74673,0.48387,0.51092,0.28827,1.34786,3.31814,1.64662,0.00108226,0.00108226,0.00108226
13,307.2,1.03139,1.43576,1.24571,0.77905,0.40747,0.51353,0.29369,1.43053,2.87538,1.70132,0.00114383,0.00114383,0.00114383
14,330.305,0.9819,1.40355,1.21566,0.84819,0.44402,0.51943,0.2705,1.51256,2.64617,1.69737,0.00120078,0.00120078,0.00120078
15,353.239,1.03611,1.36729,1.27002,0.85677,0.48216,0.47896,0.31373,1.27339,2.30426,1.56477,0.00120491,0.00120491,0.00120491
16,376.228,0.9895,1.37134,1.22283,0.47135,0.54839,0.56661,0.40288,1.22306,1.91208,1.45998,0.0011719,0.0011719,0.0011719
17,398.861,0.95171,1.29677,1.1951,0.5731,0.6129,0.62928,0.47208,1.14653,1.73903,1.38238,0.00113889,0.00113889,0.00113889
18,421.848,0.93318,1.28121,1.19352,0.71047,0.66129,0.70775,0.53701,0.97326,1.42622,1.22515,0.00110589,0.00110589,0.00110589
19,444.686,0.9803,1.3115,1.23298,0.97105,0.53046,0.7178,0.53647,1.04414,1.56048,1.28314,0.00107288,0.00107288,0.00107288
20,467.871,0.91206,1.25543,1.15937,0.55111,0.69355,0.77913,0.62566,0.83348,1.41807,1.14798,0.00103987,0.00103987,0.00103987
21,490.887,0.94498,1.20803,1.17541,0.73744,0.69074,0.75966,0.5982,0.86872,1.39577,1.14323,0.00100687,0.00100687,0.00100687
22,513.745,0.87455,1.17479,1.14115,0.66156,0.75054,0.73714,0.57678,0.90163,1.33767,1.16392,0.000973861,0.000973861,0.000973861
23,536.713,0.87419,1.20006,1.15012,0.85341,0.74194,0.82409,0.65597,0.8293,1.19509,1.11721,0.000940855,0.000940855,0.000940855
24,559.48,0.83562,1.14097,1.11651,0.68893,0.85611,0.77433,0.61317,0.8226,1.24089,1.08848,0.000907848,0.000907848,0.000907848
25,582.212,0.85675,1.16468,1.14599,0.68439,0.81758,0.73393,0.58896,0.82714,1.28075,1.10491,0.000874842,0.000874842,0.000874842
26,605.416,0.87273,1.11264,1.15172,0.66434,0.64516,0.69552,0.56352,0.79433,1.34763,1.10216,0.000841835,0.000841835,0.000841835
27,628.734,0.78054,1.11299,1.12186,0.92965,0.85462,0.91774,0.78794,0.63974,1.01555,1.01526,0.000808828,0.000808828,0.000808828
28,651.746,0.8211,1.08392,1.11595,0.87848,0.90323,0.93748,0.81835,0.57327,0.9129,1.00167,0.000775822,0.000775822,0.000775822
29,675.08,0.81348,1.11191,1.12534,0.87444,0.83871,0.89283,0.77487,0.56267,0.94216,1.00134,0.000742815,0.000742815,0.000742815
30,697.988,0.72649,0.98592,1.05245,0.84308,0.77419,0.83993,0.69488,0.67744,1.00712,1.0728,0.000709809,0.000709809,0.000709809
31,721.088,0.76953,1.04935,1.10593,0.96517,0.83871,0.93573,0.75522,0.72294,0.90699,1.08777,0.000676802,0.000676802,0.000676802
32,744.031,0.73082,0.98282,1.06137,0.96983,0.87097,0.94828,0.8014,0.64145,0.90028,1.0141,0.000643795,0.000643795,0.000643795
33,767.174,0.72255,0.93848,1.09195,0.95504,0.85484,0.93676,0.7954,0.64715,0.90051,1.00442,0.000610789,0.000610789,0.000610789
34,790.272,0.72173,0.99251,1.05443,0.88523,0.82258,0.91276,0.78188,0.62532,0.86428,0.99537,0.000577782,0.000577782,0.000577782
35,813.37,0.66938,0.93158,1.02499,0.85699,0.87097,0.92527,0.81504,0.54439,0.80829,0.95981,0.000544776,0.000544776,0.000544776
36,836.183,0.70825,0.88739,1.03255,0.92437,0.87097,0.94526,0.85499,0.47807,0.78219,0.90802,0.000511769,0.000511769,0.000511769
37,858.469,0.67255,0.89702,1.04352,0.97557,0.85484,0.95137,0.86234,0.46015,0.77417,0.90165,0.000478762,0.000478762,0.000478762
38,880.701,0.67633,0.92427,1.06396,0.95843,0.91096,0.96714,0.89932,0.41935,0.72201,0.89409,0.000445756,0.000445756,0.000445756
39,903.089,0.63962,0.91873,1.02748,0.87991,0.95161,0.95629,0.87221,0.43354,0.71764,0.89425,0.000412749,0.000412749,0.000412749
40,925.71,0.67636,0.90502,1.05573,0.93511,0.90323,0.95923,0.85326,0.49425,0.72616,0.90898,0.000379743,0.000379743,0.000379743
41,947.805,0.45021,0.85832,0.89546,0.92468,0.92998,0.96544,0.86117,0.48701,0.70749,0.90684,0.000346736,0.000346736,0.000346736
