epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5938,2.41091,9.43948,2.89313,0.24276,0.09677,0.06589,0.03009,2.16122,136.98,2.72527,0.00043342,0.00043342,0.00043342
2,27.262,2.08245,4.56602,2.44669,0.50804,0.03226,0.00839,0.0026,2.55348,5.09733,4.10485,0.000866017,0.000866017,0.000866017
3,36.5427,2.072,3.26733,2.46003,0.50012,0.03226,1e-05,0,2.95237,136.757,4.16117,0.00128079,0.00128079,0.00128079
4,45.8186,2.06607,3.16343,2.42349,0.03172,0.08415,0.04595,0.00914,2.76834,5.08077,5.31958,0.00156798,0.00156798,0.00156798
5,55.0617,2.03506,3.19894,2.42613,0.00777,0.66129,0.00962,0.00364,2.01659,105.845,2.80091,0.00153497,0.00153497,0.00153497
6,64.2115,1.87579,2.77476,2.31421,0.61099,0.27419,0.10833,0.05022,2.12758,6.45625,3.19312,0.00150197,0.00150197,0.00150197
7,73.6339,1.91925,2.60463,2.32527,0.65215,0.12903,0.13125,0.05043,2.06347,10.4424,3.16501,0.00146896,0.00146896,0.00146896
8,82.7581,1.76198,2.44579,2.25371,0.68386,0.12903,0.15894,0.06644,1.9196,6.94339,2.98418,0.00143595,0.00143595,0.00143595
9,92.0199,1.74337,2.20145,2.19038,0.82403,0.09677,0.14041,0.05728,1.81311,6.29358,2.91824,0.00140295,0.00140295,0.00140295
10,101.256,1.69605,2.3159,2.21448,0.71051,0.17742,0.13023,0.06999,2.07299,3.26035,2.83024,0.00136994,0.00136994,0.00136994
11,110.7,1.65128,2.23502,2.12944,0.66176,0.29032,0.23862,0.12547,1.60181,2.86001,2.41857,0.00133693,0.00133693,0.00133693
12,120.197,1.52861,2.08416,2.01666,0.6907,0.30645,0.25856,0.147,1.59189,2.39394,2.26968,0.00130393,0.00130393,0.00130393
13,129.595,1.52708,1.96022,1.99395,0.83781,0.48387,0.47484,0.30465,1.2507,1.88828,2.03402,0.00127092,0.00127092,0.00127092
14,138.338,1.45532,1.85338,1.90699,0.92815,0.48387,0.55525,0.39257,1.15765,2.04447,1.9276,0.00123791,0.00123791,0.00123791
15,147.058,1.47854,1.95836,1.94167,0.95015,0.48387,0.51851,0.3546,1.40136,1.78027,2.07752,0.00120491,0.00120491,0.00120491
16,155.739,1.48428,1.77125,1.94004,0.98008,0.5,0.5414,0.4151,1.0823,1.63434,1.90285,0.0011719,0.0011719,0.0011719
17,164.6,1.39707,1.76317,1.90858,0.95487,0.48779,0.56196,0.41085,1.26402,1.68015,2.07926,0.00113889,0.00113889,0.00113889
18,173.19,1.30832,1.59896,1.77245,0.94956,0.46774,0.55263,0.42557,1.23692,1.82018,1.99017,0.00110589,0.00110589,0.00110589
19,181.93,1.3576,1.63558,1.7736,0.98096,0.5,0.57035,0.44813,1.12726,1.66267,1.90328,0.00107288,0.00107288,0.00107288
20,190.653,1.38072,1.65518,1.83183,0.96943,0.49541,0.5632,0.44794,1.18288,1.51336,1.99421,0.00103987,0.00103987,0.00103987
