Designator,Footprint,Quantity,Value,LCSC Part #
12V,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_MountingPin,
A1,Arduino_Nano,1,Arduino_Nano_v2.x,
"C1, C3",C_Disc_D5.1mm_W3.2mm_P5.00mm,2,0.1uF,
C2,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,0.33uF,
D1,LED_D3.0mm,1,LED,
F1,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,Polyfuse_Small,
GPIO_A1,PinHeader_1x03_P2.54mm_Vertical,1,GPIOA3,
GPIO_A2,PinHeader_1x03_P2.54mm_Vertical,1,GPIOA2,
GPIO_A3,PinHeader_1x03_P2.54mm_Vertical,1,GPIOA1,
I2C_1,PinSocket_1x02_P2.54mm_Vertical,1,I2C_1,
I2C_2,PinSocket_1x02_P2.54mm_Vertical,1,I2C_2,
I2C_3,PinSocket_1x02_P2.54mm_Vertical,1,I2C_3,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,13,330,
RELAY,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,RELAY,
RELAY_ARD,PinSocket_1x03_P2.54mm_Vertical,1,RELAY,
U1,DIP_Socket-14_W4.3_W5.08_W7.62_W10.16_W10.9_3M_214-3339-00-0602J,1,74LS08,
U3,MODULE_904,1,904,
U4,TO-220-3_Horizontal_TabDown,1,LM7805_TO220,
