Designator,Mid X,Mid Y,Rotation,Layer
12V,94.85,-46.875,270.0,top
A1,146.805,-83.54,0.0,top
C1,104.7,-71.1,180.0,top
C2,100.375,-55.675,270.0,top
C3,115.2,-58.225,270.0,top
D1,98.275,-70.025,0.0,top
F1,104.7,-65.7,0.0,top
GPIO_A1,104.765,-102.25,90.0,top
GPIO_A2,115.665,-102.25,90.0,top
GPIO_A3,126.565,-102.25,90.0,top
I2C_1,119.3875,-57.875,0.0,top
I2C_2,123.925,-57.905,0.0,top
I2C_3,128.4625,-57.9,0.0,top
R1,111.15,-69.17,90.0,top
R10,116.21,-93.94,270.0,top
R11,118.75,-93.94,270.0,top
R12,121.29,-93.94,270.0,top
R13,99.765,-62.0,180.0,top
R2,113.69,-69.22,90.0,top
R3,116.23,-69.195,90.0,top
R4,118.77,-69.22,90.0,top
R5,121.31,-69.22,90.0,top
R6,123.85,-69.21,90.0,top
R7,108.59,-93.94,270.0,top
R8,111.13,-93.94,270.0,top
R9,113.67,-93.94,270.0,top
RELAY,119.175,-45.4725,180.0,top
RELAY_ARD,127.65,-44.46,0.0,top
U1,116.23,-81.59,90.0,top
U3,144.2,-50.3975,0.0,top
U4,107.9,-52.025,0.0,top
